name,handedness,count,attribute,value
Enos Cabell,R,737,height,76.0
Roy Branch,R,737,height,72.0
Juan Beniquez,R,737,height,71.0
Frank Fernandez,R,737,height,72.0
Bombo Rivera,R,737,height,70.0
Steve Brye,R,737,height,72.0
Ron Jackson,R,737,height,72.0
Rufino Linares,R,737,height,72.0
Bob Kearney,R,737,height,72.0
Fergie Jenkins,R,737,height,77.0
Dick Dietz,R,737,height,73.0
Ted Cox,R,737,height,75.0
Bobby Mitchell,R,737,height,75.0
Barry Evans,R,737,height,73.0
Mickey Brantley,R,737,height,70.0
Al Gallagher,R,737,height,72.0
Rob Woodward,R,737,height,75.0
Hector Cruz,R,737,height,71.0
Woody Woodward,R,737,height,74.0
Ted Martinez,R,737,height,72.0
Jim Anderson,R,737,height,72.0
Lenn Sakata,R,737,height,69.0
Dave Duncan,R,737,height,74.0
Randy Jones,R,737,height,72.0
Dick Billings,R,737,height,73.0
Bob Veselic,R,737,height,72.0
Burt Hooton,R,737,height,73.0
Bob Ferris,R,737,height,78.0
Fernando Gonzalez,R,737,height,70.0
Jim Sundberg,R,737,height,72.0
Andy Kosco,R,737,height,75.0
Gary Wheelock,R,737,height,75.0
Lenny Faedo,R,737,height,72.0
Dick Davis,R,737,height,75.0
Mike Diaz,R,737,height,74.0
Tim Foli,R,737,height,72.0
Alan Knicely,R,737,height,72.0
Tim Laudner,R,737,height,75.0
Jose Morales,R,737,height,71.0
Luis Encarnacion,R,737,height,70.0
Rick Kreuger,R,737,height,74.0
Juan Marichal,R,737,height,72.0
Roger Weaver,R,737,height,75.0
Stan Papi,R,737,height,72.0
Chris Knapp,R,737,height,77.0
Steve Henderson,R,737,height,74.0
Rob Picciolo,R,737,height,74.0
Don Welchel,R,737,height,76.0
Roberto Pena,R,737,height,68.0
Bob Dernier,R,737,height,72.0
Bill Melton,R,737,height,74.0
Barbaro Garbey,R,737,height,70.0
Jack Hiatt,R,737,height,74.0
Nelson Mathews,R,737,height,76.0
Ron Theobald,R,737,height,68.0
Dewey Robinson,R,737,height,72.0
Rafael Santana,R,737,height,73.0
Tony Arnold,R,737,height,71.0
Ike Brookens,R,737,height,77.0
Tommie Aaron,R,737,height,75.0
Steve Dillard,R,737,height,73.0
Win Remmerswaal,R,737,height,74.0
Jeff Peterek,R,737,height,74.0
George Scott,R,737,height,74.0
Jeff Shaver,R,737,height,75.0
Ken Walters,R,737,height,73.0
Gorman Thomas,R,737,height,74.0
Paul Dade,R,737,height,73.0
Fred Stanley,R,737,height,70.0
Carl Morton,R,737,height,72.0
Gary Gray,R,737,height,72.0
Rennie Stennett,R,737,height,71.0
Jim Gideon,R,737,height,75.0
Jerry May,R,737,height,74.0
Rich McKinney,R,737,height,71.0
Mike Andrews,R,737,height,75.0
Bobby Clark,R,737,height,72.0
Cliff Johnson,R,737,height,76.0
Donn Clendenon,R,737,height,76.0
Charlie James,R,737,height,73.0
Bob Horner,R,737,height,73.0
Tom Veryzer,R,737,height,73.0
Jose Cecena,R,737,height,71.0
George Smith,R,737,height,70.0
Jim Essian,R,737,height,74.0
Onix Concepcion,R,737,height,66.0
Brian Giles,R,737,height,73.0
Garry Maddox,R,737,height,75.0
Alex Trevino,R,737,height,70.0
Jim Price,R,737,height,72.0
Felix Millan,R,737,height,71.0
Steve Garvey,R,737,height,70.0
Greg Erardi,R,737,height,73.0
Jim Farr,R,737,height,73.0
Tony Cloninger,R,737,height,72.0
Chuck Harrison,R,737,height,70.0
Mike Ivie,R,737,height,75.0
Frank Dimichele,R,737,height,75.0
Dusty Baker,R,737,height,74.0
Tucker Ashford,R,737,height,73.0
Ned Yost,R,737,height,73.0
Mike Warren,R,737,height,73.0
Gaylord Perry,R,737,height,76.0
Mickey Hatcher,R,737,height,74.0
Bill Fulton,R,737,height,75.0
John Orsino,R,737,height,75.0
Larry Anderson,R,737,height,75.0
Craig Mitchell,R,737,height,75.0
Dave Hostetler,R,737,height,76.0
Alfredo Martinez,R,737,height,75.0
Dean Chance,R,737,height,75.0
Dick Green,R,737,height,70.0
Fran Healy,R,737,height,77.0
Doc Edwards,R,737,height,74.0
Joe Strain,R,737,height,70.0
Buddy Bell,R,737,height,73.0
Jody Davis,R,737,height,76.0
Mike Edwards,R,737,height,70.0
Bill Mooneyham,R,737,height,72.0
John Hobbs,R,737,height,75.0
Deron Johnson,R,737,height,74.0
John Denny,R,737,height,75.0
Don Wert,R,737,height,70.0
Greg Luzinski,R,737,height,73.0
Karl Best,R,737,height,76.0
Ron Woods,R,737,height,70.0
Tony Horton,R,737,height,75.0
Randy Hundley,R,737,height,71.0
Luis Sanchez,R,737,height,74.0
Bob Johnson,R,737,height,70.0
Brant Alyea,R,737,height,75.0
Lou Johnson,R,737,height,71.0
Mike Brown,R,737,height,74.0
Mike Brown,R,737,height,74.0
Terry Harper,R,737,height,76.0
Jerry Royster,R,737,height,72.0
Barry Bonnell,R,737,height,75.0
Tom Seaver,R,737,height,73.0
Jerry Martin,R,737,height,73.0
Bill Stein,R,737,height,70.0
Joel Youngblood,R,737,height,72.0
Phil Gagliano,R,737,height,73.0
Jerry McNertney,R,737,height,72.0
Kiko Garcia,R,737,height,71.0
John Caneira,R,737,height,75.0
Domingo Ramos,R,737,height,70.0
Clint Zavaras,R,737,height,73.0
Mike Parrott,R,737,height,76.0
Ray Fosse,R,737,height,74.0
Luis Aponte,R,737,height,72.0
Orlando Mercado,R,737,height,72.0
Charley Smith,R,737,height,73.0
Paul Boris,R,737,height,74.0
De Wayne Buice,R,737,height,72.0
Bob Uecker,R,737,height,73.0
Felix Torres,R,737,height,71.0
Ray Knight,R,737,height,73.0
Bobby Grich,R,737,height,74.0
John Boccabella,R,737,height,73.0
Mark Esser,R,737,height,73.0
Daryl Smith,R,737,height,76.0
Dave Smith,R,737,height,73.0
Buddy Bradford,R,737,height,71.0
Dave Stapleton,R,737,height,73.0
Gary Ward,R,737,height,74.0
Jim Lonborg,R,737,height,77.0
Joe Lis,R,737,height,72.0
Tom Klawitter,R,737,height,74.0
