name,handedness,height,weight,batting avg,homeruns,count
Bob Kammeyer,R,76,210,0.0,0,737
Paul Blair,R,72,168,0.25,134,737
Al Cowens,R,73,197,0.27,108,737
Dave Hilton,R,71,191,0.213,6,737
Luis Alvarado,R,69,162,0.214,5,737
Larry Parrish,R,75,190,0.263,256,737
Woodie Fryman,R,75,197,0.138,2,737
Bob Randall,R,74,175,0.257,1,737
Jim Pankovits,R,70,170,0.25,9,737
Carmen Fanzone,R,72,200,0.224,20,737
Gary Allenson,R,71,185,0.221,19,737
Mike Vail,R,73,180,0.279,34,737
Nick Esasky,R,75,200,0.25,122,737
Chris Cannizzaro,R,72,190,0.235,18,737
John Pawlowski,R,74,175,0.0,0,737
Mel Stottlemyre,R,73,178,0.16,7,737
Jack Hardy,R,74,175,0.0,0,737
Ron Musselman,R,74,185,0.0,0,737
Tony Chevez,R,71,177,0.0,0,737
Andy Messersmith,R,73,200,0.17,5,737
Richie Zisk,R,73,200,0.287,207,737
Dave Chalk,R,70,175,0.252,15,737
Don Baylor,R,73,190,0.26,338,737
John Vukovich,R,73,187,0.161,6,737
Danny Thompson,R,72,183,0.248,15,737
Doug Camilli,R,71,195,0.199,18,737
Bruce Bochy,R,75,205,0.239,26,737
Gary Ignasiak,R,71,185,0.0,0,737
Ken Reitz,R,72,180,0.26,68,737
Amos Otis,R,71,165,0.277,193,737
Gene Alley,R,70,160,0.254,55,737
Ted Sizemore,R,70,165,0.262,23,737
Joe Skalski,R,75,190,0.0,0,737
Doug Flynn,R,71,165,0.238,7,737
Ken Holtzman,R,74,175,0.163,2,737
Kevin Bell,R,72,195,0.222,13,737
Tom Nieto,R,73,193,0.205,5,737
Larvell Blanks,R,68,167,0.253,20,737
Francisco Barrios,R,71,155,0.0,0,737
Steve Yeager,R,72,190,0.228,102,737
Pedro Garcia,R,70,175,0.22,37,737
Bob Babcock,R,77,210,0.0,0,737
Craig Eaton,R,71,175,0.0,0,737
Art Howe,R,74,190,0.26,43,737
Ike Brown,R,72,190,0.256,20,737
Howie Goss,R,76,204,0.21600000000000005,11,737
Glenn Borgmann,R,76,210,0.229,16,737
Lamar Johnson,R,74,215,0.287,64,737
Julio Gonzalez,R,71,162,0.235,4,737
Bobby Klaus,R,70,170,0.208,6,737
Manny Sanguillen,R,72,193,0.29600000000000004,65,737
Jesus Alou,R,74,190,0.28,32,737
Enos Cabell,R,76,170,0.277,60,737
Roy Branch,R,72,175,0.0,0,737
Juan Beniquez,R,71,150,0.274,79,737
Frank Fernandez,R,72,185,0.199,39,737
Bombo Rivera,R,70,187,0.265,10,737
Steve Brye,R,72,190,0.258,30,737
Ron Jackson,R,72,200,0.259,56,737
Rufino Linares,R,72,170,0.27,11,737
Bob Kearney,R,72,190,0.233,27,737
Fergie Jenkins,R,77,205,0.165,13,737
Dick Dietz,R,73,195,0.261,66,737
Ted Cox,R,75,195,0.245,10,737
Bobby Mitchell,R,75,185,0.235,21,737
Barry Evans,R,73,180,0.251,2,737
Mickey Brantley,R,70,180,0.259,32,737
Al Gallagher,R,72,180,0.263,11,737
Rob Woodward,R,75,185,0.0,0,737
Hector Cruz,R,71,170,0.225,39,737
Woody Woodward,R,74,180,0.236,1,737
Ted Martinez,R,72,165,0.24,7,737
Jim Anderson,R,72,170,0.218,13,737
Lenn Sakata,R,69,160,0.23,25,737
Dave Duncan,R,74,190,0.214,109,737
Randy Jones,R,72,178,0.132,0,737
Dick Billings,R,73,195,0.227,16,737
Bob Veselic,R,72,175,0.0,0,737
Burt Hooton,R,73,210,0.123,4,737
Bob Ferris,R,78,225,0.0,0,737
Fernando Gonzalez,R,70,165,0.235,17,737
Jim Sundberg,R,72,190,0.248,95,737
Andy Kosco,R,75,205,0.236,73,737
Gary Wheelock,R,75,205,0.0,0,737
Lenny Faedo,R,72,170,0.251,5,737
Dick Davis,R,75,190,0.265,27,737
Mike Diaz,R,74,195,0.247,31,737
Tim Foli,R,72,179,0.251,25,737
Alan Knicely,R,72,190,0.213,12,737
Tim Laudner,R,75,212,0.225,77,737
Jose Morales,R,71,187,0.287,26,737
Luis Encarnacion,R,70,178,0.0,0,737
Rick Kreuger,R,74,185,0.0,0,737
Juan Marichal,R,72,185,0.165,4,737
Roger Weaver,R,75,190,0.0,0,737
Stan Papi,R,72,170,0.218,7,737
Chris Knapp,R,77,195,0.0,0,737
Steve Henderson,R,74,190,0.28,68,737
Rob Picciolo,R,74,185,0.234,17,737
Don Welchel,R,76,205,0.0,0,737
Roberto Pena,R,68,170,0.245,13,737
Bob Dernier,R,72,160,0.255,23,737
Bill Melton,R,74,200,0.253,160,737
Barbaro Garbey,R,70,170,0.267,11,737
Jack Hiatt,R,74,190,0.251,22,737
Nelson Mathews,R,76,195,0.223,22,737
Ron Theobald,R,68,165,0.248,2,737
Dewey Robinson,R,72,180,0.0,0,737
Rafael Santana,R,73,165,0.246,13,737
Tony Arnold,R,71,170,0.0,0,737
Ike Brookens,R,77,170,0.0,0,737
Tommie Aaron,R,75,190,0.229,13,737
Steve Dillard,R,73,180,0.243,13,737
Win Remmerswaal,R,74,160,0.0,0,737
Jeff Peterek,R,74,195,0.0,0,737
George Scott,R,74,200,0.268,271,737
Jeff Shaver,R,75,195,0.0,0,737
Ken Walters,R,73,180,0.231,11,737
Gorman Thomas,R,74,210,0.225,268,737
Paul Dade,R,73,185,0.27,10,737
Fred Stanley,R,70,165,0.21600000000000005,10,737
Carl Morton,R,72,200,0.156,7,737
Gary Gray,R,72,187,0.24,24,737
Rennie Stennett,R,71,160,0.274,41,737
Jim Gideon,R,75,190,0.0,0,737
Jerry May,R,74,190,0.234,15,737
Rich McKinney,R,71,185,0.225,20,737
Mike Andrews,R,75,195,0.258,66,737
Bobby Clark,R,72,190,0.239,19,737
Cliff Johnson,R,76,215,0.258,196,737
Donn Clendenon,R,76,209,0.274,159,737
Charlie James,R,73,195,0.255,29,737
Bob Horner,R,73,195,0.277,218,737
Tom Veryzer,R,73,175,0.241,14,737
Jose Cecena,R,71,180,0.0,0,737
George Smith,R,70,170,0.205,9,737
Jim Essian,R,74,195,0.244,33,737
Onix Concepcion,R,66,160,0.239,3,737
Brian Giles,R,73,165,0.228,10,737
Garry Maddox,R,75,175,0.285,117,737
Alex Trevino,R,70,165,0.249,23,737
Jim Price,R,72,192,0.214,18,737
Felix Millan,R,71,172,0.279,22,737
Steve Garvey,R,70,192,0.294,272,737
Greg Erardi,R,73,190,0.0,0,737
Jim Farr,R,73,195,0.0,0,737
Tony Cloninger,R,72,210,0.192,11,737
Chuck Harrison,R,70,185,0.238,17,737
Mike Ivie,R,75,205,0.269,81,737
Frank Dimichele,R,75,205,0.0,0,737
Dusty Baker,R,74,183,0.278,242,737
Tucker Ashford,R,73,195,0.218,6,737
Ned Yost,R,73,190,0.212,16,737
Mike Warren,R,73,175,0.0,0,737
Gaylord Perry,R,76,205,0.131,6,737
Mickey Hatcher,R,74,200,0.28,38,737
Bill Fulton,R,75,195,0.0,0,737
John Orsino,R,75,215,0.249,40,737
Larry Anderson,R,75,190,0.0,0,737
Craig Mitchell,R,75,180,0.0,0,737
Dave Hostetler,R,76,215,0.229,37,737
Alfredo Martinez,R,75,185,0.0,0,737
Dean Chance,R,75,200,0.066,0,737
Dick Green,R,70,180,0.24,80,737
Fran Healy,R,77,220,0.25,20,737
Doc Edwards,R,74,215,0.238,15,737
Joe Strain,R,70,169,0.25,1,737
Buddy Bell,R,73,180,0.279,201,737
Jody Davis,R,76,192,0.245,127,737
Mike Edwards,R,70,154,0.25,2,737
Bill Mooneyham,R,72,175,0.0,0,737
John Hobbs,R,75,190,0.0,0,737
Deron Johnson,R,74,200,0.244,245,737
John Denny,R,75,185,0.17,0,737
Don Wert,R,70,162,0.242,77,737
Greg Luzinski,R,73,220,0.276,307,737
Karl Best,R,76,190,0.0,0,737
Ron Woods,R,70,168,0.233,26,737
Tony Horton,R,75,210,0.268,76,737
Randy Hundley,R,71,170,0.236,82,737
Luis Sanchez,R,74,170,0.0,0,737
Bob Johnson,R,70,175,0.272,44,737
Brant Alyea,R,75,215,0.247,38,737
Lou Johnson,R,71,170,0.258,48,737
Mike Brown,R,74,195,0.265,23,737
Mike Brown,R,74,195,0.0,0,737
Terry Harper,R,76,195,0.253,36,737
Jerry Royster,R,72,165,0.249,40,737
Barry Bonnell,R,75,190,0.272,56,737
Tom Seaver,R,73,195,0.154,12,737
Jerry Martin,R,73,195,0.251,85,737
Bill Stein,R,70,170,0.267,44,737
Joel Youngblood,R,72,180,0.265,80,737
Phil Gagliano,R,73,180,0.238,14,737
Jerry McNertney,R,72,180,0.237,27,737
Kiko Garcia,R,71,180,0.239,12,737
John Caneira,R,75,180,0.0,0,737
Domingo Ramos,R,70,154,0.24,8,737
Clint Zavaras,R,73,175,0.0,0,737
Mike Parrott,R,76,210,0.0,0,737
Ray Fosse,R,74,215,0.256,61,737
Luis Aponte,R,72,185,0.0,0,737
Orlando Mercado,R,72,180,0.199,7,737
Charley Smith,R,73,170,0.239,69,737
Paul Boris,R,74,200,0.0,0,737
De Wayne Buice,R,72,170,0.0,0,737
Bob Uecker,R,73,190,0.2,14,737
Felix Torres,R,71,165,0.254,27,737
Ray Knight,R,73,185,0.271,84,737
Bobby Grich,R,74,180,0.266,224,737
John Boccabella,R,73,195,0.219,26,737
Mark Esser,R,73,190,0.0,0,737
Daryl Smith,R,76,185,0.0,0,737
Dave Smith,R,73,190,0.0,0,737
Buddy Bradford,R,71,170,0.226,52,737
Dave Stapleton,R,73,178,0.271,41,737
Gary Ward,R,74,195,0.276,130,737
Jim Lonborg,R,77,200,0.136,3,737
Joe Lis,R,72,175,0.233,32,737
Tom Klawitter,R,74,190,0.0,0,737
Larry Herndon,R,75,190,0.274,107,737
Jim Wright,R,77,205,0.0,0,737
Jim Wright,R,73,165,0.0,0,737
Eddie Leon,R,72,170,0.236,24,737
Jim Wohlford,R,71,175,0.26,21,737
J.R. Richard,R,80,222,0.168,10,737
Keith Moreland,R,72,190,0.279,121,737
Ramon Pena,R,70,155,0.0,0,737
Alex Johnson,R,72,205,0.28800000000000003,78,737
Chico Escarrega,R,71,185,0.0,0,737
Dave Rosello,R,71,160,0.236,10,737
Cardell Camper,R,75,208,0.0,0,737
Paul Schaal,R,71,165,0.244,57,737
Tito Landrum,R,71,175,0.249,13,737
Dave Edwards,R,72,170,0.237,14,737
Mario Guerrero,R,70,155,0.257,7,737
Mike Overy,R,74,190,0.0,0,737
Doug Griffin,R,72,160,0.245,7,737
Steve Blass,R,72,165,0.172,1,737
Johnnie LeMaster,R,74,165,0.222,22,737
Craig Chamberlain,R,73,190,0.0,0,737
Nate Oliver,R,70,160,0.226,2,737
Ken Rudolph,R,73,180,0.213,6,737
Wayne Nordhagen,R,74,205,0.282,39,737
Frank Eufemia,R,71,185,0.0,0,737
Andre Robertson,R,70,155,0.251,5,737
Jerry Zimmerman,R,74,185,0.204,3,737
Jack Lazorko,R,71,200,0.0,0,737
Mike Paxton,R,71,190,0.0,0,737
Chet Lemon,R,72,190,0.273,215,737
Rickey Keeton,R,74,190,0.0,0,737
Cleon Jones,R,72,185,0.281,93,737
Curt Motton,R,68,164,0.213,25,737
Johnny Bench,R,73,197,0.267,389,737
Dale Berra,R,72,180,0.236,49,737
Terry Felton,R,73,180,0.0,0,737
Mark Clear,R,76,200,0.0,0,737
Carl Warwick,R,70,170,0.248,31,737
Sam Bowens,R,73,188,0.223,45,737
Luis Aguayo,R,69,173,0.236,37,737
Hal Lanier,R,74,180,0.228,8,737
Greg Pryor,R,72,180,0.25,14,737
Dave Nelson,R,70,160,0.244,20,737
Lynn Jones,R,69,175,0.252,7,737
Ken Suarez,R,69,175,0.227,5,737
Rich Barnes,R,76,186,0.0,0,737
Tommie Agee,R,71,195,0.255,130,737
Bob Bailey,R,73,180,0.257,189,737
